season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Crystal Palace,Crystal Palace,47c64c55,11,19,7,7,5,21,23,-2,28,1.47,19,4,5,10,19,26,-7,17,0.89,https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Chelsea,Chelsea,cff3d9bb,12,19,6,7,6,20,19,+1,25,1.32,19,5,4,10,18,28,-10,19,1.00,https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Wolves,Wolves,8cec06e1,13,19,9,3,7,19,20,-1,30,1.58,19,2,5,12,12,38,-26,11,0.58,https://fbref.com/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,West Ham,West Ham,7c21e445,14,19,8,4,7,26,24,+2,28,1.47,19,3,3,13,16,31,-15,12,0.63,https://fbref.com/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Bournemouth,Bournemouth,4ba7cbea,15,19,6,4,9,20,28,-8,22,1.16,19,5,2,12,17,43,-26,17,0.89,https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Nottingham,Nott'm Forest,e4a775cb,16,19,8,6,5,27,24,+3,30,1.58,19,1,5,13,11,44,-33,8,0.42,https://fbref.com/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Everton,Everton,d3fd31cc,17,19,6,3,10,16,27,-11,21,1.11,19,2,9,8,18,30,-12,15,0.79,https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leicester City,Leicester,a2d435b3,18,19,5,4,10,23,27,-4,19,1.00,19,4,3,12,28,41,-13,15,0.79,https://fbref.com/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leeds United,Leeds,5bfb9659,19,19,5,7,7,26,37,-11,22,1.16,19,2,3,14,22,41,-19,9,0.47,https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
2022-2023,Premier League,results,results_home_away,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Southampton,Southampton,33c895d4,20,19,2,5,12,19,37,-18,11,0.58,19,4,2,13,17,36,-19,14,0.74,https://fbref.com/en/squads/33c895d4/2022-2023/Southampton-Stats
