season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Arsenal,Arsenal,18bb7c10,27,26.9,38,"3,420",90,100,38.0,418,85,309,107,21,235,1.11,48,61,-13,-0.34,https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Aston Villa,Aston Villa,8602292d,31,26.7,38,"3,420",90,100,38.0,418,85,311,108,20,232,1.66,54,52,+2,+0.05,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brentford,Brentford,cd051869,29,26.8,38,"3,420",90,100,38.0,418,84,326,90,19,250,1.61,56,48,+8,+0.21,https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brighton,Brighton,d07537b9,26,26.9,38,"3,420",90,100,38.0,418,84,311,108,20,231,1.26,44,42,+2,+0.05,https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Burnley,Burnley,943e8050,23,26.7,38,"3,420",90,100,38.0,418,86,322,96,18,245,1.71,53,34,+19,+0.50,https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Chelsea,Chelsea,cff3d9bb,26,26.7,38,"3,420",90,100,38.0,418,84,305,109,20,230,0.76,33,76,-43,-1.13,https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Crystal Palace,Crystal Palace,47c64c55,24,26.8,38,"3,420",90,100,38.0,418,85,310,106,21,235,1.34,46,50,-4,-0.11,https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Everton,Everton,d3fd31cc,33,26.8,38,"3,420",90,100,38.0,418,85,308,111,19,230,1.82,66,43,+23,+0.61,https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leeds United,Leeds,5bfb9659,29,26.9,38,"3,420",90,100,38.0,418,82,302,114,17,228,1.71,79,42,+37,+0.97,https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leicester City,Leicester,a2d435b3,28,26.8,38,"3,420",90,100,38.0,418,84,310,108,21,233,1.37,59,62,-3,-0.08,https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Liverpool,Liverpool,822bd0ba,27,26.7,38,"3,420",90,100,38.0,418,85,311,107,23,235,0.37,26,94,-68,-1.79,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester City,Man City,b8fd03ef,26,26.9,38,"3,420",90,100,38.0,418,86,304,111,23,227,0.39,26,99,-73,-1.92,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester Utd,Man Utd,19538871,29,27.0,38,"3,420",90,100,38.0,418,85,314,103,19,236,1.21,57,57,0,0.00,https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Newcastle,Newcastle,b2b47a98,29,26.8,38,"3,420",90,100,38.0,418,85,306,109,21,233,1.45,62,44,+18,+0.47,https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Norwich City,Norwich,1c781004,28,26.8,38,"3,420",90,100,38.0,418,84,307,110,21,228,2.24,84,23,+61,+1.61,https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Southampton,Southampton,33c895d4,25,26.8,38,"3,420",90,100,38.0,418,85,308,109,19,233,1.61,67,43,+24,+0.63,https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Tottenham,Spurs,361ca564,25,26.8,38,"3,420",90,100,38.0,418,85,309,105,18,235,1.00,40,69,-29,-0.76,https://fbref.com/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Watford,Watford,2abfe087,30,26.8,38,"3,420",90,100,38.0,418,84,315,103,19,238,2.26,77,34,+43,+1.13,https://fbref.com/en/squads/2abfe087/2021-2022/Watford-Stats
2021-2022,Premier League,playing_time,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,West Ham,West Ham,7c21e445,25,26.8,38,"3,420",90,100,38.0,418,86,316,100,21,237,1.32,51,60,-9,-0.24,https://fbref.com/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
