season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Arsenal,Arsenal,18bb7c10,28,26.8,38,"3,420",90,100,38.0,418,83,,104,18,162,0.97,51,73,-22,-0.58,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Bournemouth,Bournemouth,4ba7cbea,28,26.8,38,"3,420",90,100,38.0,418,86,,109,17,157,1.66,70,56,+14,+0.37,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Brighton,Brighton,d07537b9,21,26.8,38,"3,420",90,100,38.0,418,84,,104,18,162,1.82,60,35,+25,+0.66,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Burnley,Burnley,943e8050,23,26.7,38,"3,420",90,100,38.0,418,86,,109,22,157,1.76,68,45,+23,+0.61,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Cardiff City,Cardiff,75fae011,25,26.7,38,"3,420",90,100,38.0,418,85,,99,22,167,2.00,69,34,+35,+0.92,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Chelsea,Chelsea,cff3d9bb,24,26.8,38,"3,420",90,100,38.0,418,85,,102,19,164,0.87,39,63,-24,-0.63,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Crystal Palace,Crystal Palace,47c64c55,26,26.7,38,"3,420",90,100,38.0,418,87,,110,20,156,1.53,53,51,+2,+0.05,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Everton,Everton,d3fd31cc,23,26.8,38,"3,420",90,100,38.0,418,85,,104,21,162,1.34,46,54,-8,-0.21,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Fulham,Fulham,fd962109,28,26.8,38,"3,420",90,100,38.0,418,84,,105,18,161,2.18,81,34,+47,+1.24,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Huddersfield,Huddersfield,f5922ca5,31,26.5,38,"3,420",90,100,38.0,418,84,,111,21,155,2.39,76,22,+54,+1.42,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Leicester City,Leicester,a2d435b3,25,26.8,38,"3,420",90,100,38.0,418,85,,108,18,158,1.45,48,51,-3,-0.08,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Liverpool,Liverpool,822bd0ba,23,26.9,38,"3,420",90,100,38.0,418,86,,109,18,157,0.26,22,89,-67,-1.76,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester City,Man City,b8fd03ef,21,26.6,38,"3,420",90,100,38.0,418,86,,107,21,159,0.37,23,95,-72,-1.89,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester Utd,Man Utd,19538871,28,26.9,38,"3,420",90,100,38.0,418,85,,106,19,160,1.03,54,65,-11,-0.29,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Newcastle,Newcastle,b2b47a98,24,26.8,38,"3,420",90,100,38.0,418,86,,108,22,158,1.58,48,42,+6,+0.16,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Southampton,Southampton,33c895d4,30,26.7,38,"3,420",90,100,38.0,418,85,,106,21,159,1.66,65,45,+20,+0.53,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Tottenham,Spurs,361ca564,28,26.7,38,"3,420",90,100,38.0,418,86,,107,20,159,1.08,39,67,-28,-0.74,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Watford,Watford,2abfe087,25,26.8,38,"3,420",90,100,38.0,418,85,,105,22,161,1.47,59,52,+7,+0.18,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,West Ham,West Ham,7c21e445,26,26.7,38,"3,420",90,100,38.0,418,84,,107,19,159,1.45,55,52,+3,+0.08,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
2018-2019,Premier League,playing_time,squad_against,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Wolves,Wolves,8cec06e1,21,26.8,38,"3,420",90,100,38.0,418,85,,100,21,166,1.26,46,47,-1,-0.03,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
