season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Arsenal,Arsenal,18bb7c10,21,26.4,5,450,90,100,5.0,55,81,35,19,16,26,0.60,4,8,-4,-0.80,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Aston Villa,Aston Villa,8602292d,22,26.6,5,450,90,100,5.0,55,80,32,23,20,22,2.00,9,4,+5,+1.00,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Bournemouth,Bournemouth,4ba7cbea,18,25.6,4,360,90,100,4.0,44,86,26,18,21,18,1.50,7,6,+1,+0.25,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brentford,Brentford,cd051869,20,26.8,5,450,90,100,5.0,55,80,33,22,23,23,0.60,4,10,-6,-1.20,https://fbref.com/en/squads/cd051869/Brentford-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brighton,Brighton,d07537b9,22,27.1,5,450,90,100,5.0,55,85,31,23,18,22,0.80,5,16,-11,-2.20,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Chelsea,Chelsea,cff3d9bb,23,26.5,5,450,90,100,5.0,55,83,32,23,17,22,1.40,12,10,+2,+0.40,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Coventry City,Coventry City,f7e3dfe9,21,26.2,5,450,90,100,5.0,55,81,33,22,19,23,2.40,10,1,+9,+1.80,https://fbref.com/en/squads/f7e3dfe9/Coventry-City-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Crystal Palace,Crystal Palace,47c64c55,26,26.1,4,360,90,100,4.0,44,79,25,19,13,17,2.25,11,6,+5,+1.25,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Everton,Everton,d3fd31cc,20,26.5,5,450,90,100,5.0,55,85,30,24,18,21,0.60,3,6,-3,-0.60,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
2026-2027,Premier League,playing_time,squad_against,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Fulham,Fulham,fd962109,20,26.1,4,360,90,100,4.0,44,83,26,19,19,17,2.50,7,4,+3,+0.75,https://fbref.com/en/squads/fd962109/Fulham-Stats
