season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Arsenal,Arsenal,18bb7c10,21,26.8,59.8,5,55,450,5.0,8,6,14,7,1,1,7,0,1.60,1.20,2.80,1.40,2.60,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Aston Villa,Aston Villa,8602292d,22,27.9,45.8,5,55,450,5.0,4,4,8,4,0,0,10,1,0.80,0.80,1.60,0.80,1.60,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Bournemouth,Bournemouth,4ba7cbea,18,26.2,48.0,4,44,360,4.0,5,3,8,5,0,0,13,0,1.25,0.75,2.00,1.25,2.00,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brentford,Brentford,cd051869,20,25.6,45.2,5,55,450,5.0,10,4,14,10,0,1,11,0,2.00,0.80,2.80,2.00,2.80,https://fbref.com/en/squads/cd051869/Brentford-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Brighton,Brighton,d07537b9,22,25.7,64.8,5,55,450,5.0,14,10,24,13,1,1,12,0,2.80,2.00,4.80,2.60,4.60,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Chelsea,Chelsea,cff3d9bb,23,25.6,47.4,5,55,450,5.0,10,9,19,10,0,0,9,0,2.00,1.80,3.80,2.00,3.80,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Coventry City,Coventry City,f7e3dfe9,21,26.7,39.2,5,55,450,5.0,1,1,2,1,0,0,4,1,0.20,0.20,0.40,0.20,0.40,https://fbref.com/en/squads/f7e3dfe9/Coventry-City-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Crystal Palace,Crystal Palace,47c64c55,26,26.0,42.3,4,44,360,4.0,5,4,9,5,0,0,3,1,1.25,1.00,2.25,1.25,2.25,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Everton,Everton,d3fd31cc,20,26.4,43.8,5,55,450,5.0,6,4,10,6,0,0,9,0,1.20,0.80,2.00,1.20,2.00,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
2026-2027,Premier League,standard,squad_for,Premier League Stats _ FBref.com.html,2026-09-20T20:17:23.677208+00:00,Fulham,Fulham,fd962109,20,26.8,57.3,4,44,360,4.0,4,1,5,4,0,0,5,0,1.00,0.25,1.25,1.00,1.25,https://fbref.com/en/squads/fd962109/Fulham-Stats
