season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Arsenal,Arsenal,18bb7c10,1,19,15,2,2,41,11,+30,47,2.47,19,11,5,3,30,16,+14,38,2.00,https://fbref.com/en/squads/18bb7c10/2025-2026/Arsenal-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Manchester City,Man City,b8fd03ef,2,19,14,3,2,45,14,+31,45,2.37,19,9,6,4,32,21,+11,33,1.74,https://fbref.com/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Manchester Utd,Man Utd,19538871,3,19,13,3,3,39,24,+15,42,2.21,19,7,8,4,30,26,+4,29,1.53,https://fbref.com/en/squads/19538871/2025-2026/Manchester-United-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Aston Villa,Aston Villa,8602292d,4,19,12,2,5,32,22,+10,38,2.00,19,7,6,6,24,27,-3,27,1.42,https://fbref.com/en/squads/8602292d/2025-2026/Aston-Villa-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Liverpool,Liverpool,822bd0ba,5,19,10,6,3,34,20,+14,36,1.89,19,7,3,9,29,33,-4,24,1.26,https://fbref.com/en/squads/822bd0ba/2025-2026/Liverpool-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Bournemouth,Bournemouth,4ba7cbea,6,19,7,10,2,29,20,+9,31,1.63,19,6,8,5,29,34,-5,26,1.37,https://fbref.com/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Sunderland,Sunderland,8ef52968,7,19,9,6,4,25,20,+5,33,1.74,19,5,6,8,17,28,-11,21,1.11,https://fbref.com/en/squads/8ef52968/2025-2026/Sunderland-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brighton,Brighton,d07537b9,8,19,9,6,4,30,20,+10,33,1.74,19,5,5,9,22,26,-4,20,1.05,https://fbref.com/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brentford,Brentford,cd051869,9,19,8,8,3,33,21,+12,32,1.68,19,6,3,10,22,31,-9,21,1.11,https://fbref.com/en/squads/cd051869/2025-2026/Brentford-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Chelsea,Chelsea,cff3d9bb,10,19,7,5,7,26,25,+1,26,1.37,19,7,5,7,32,27,+5,26,1.37,https://fbref.com/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Fulham,Fulham,fd962109,11,19,11,2,6,30,20,+10,35,1.84,19,4,5,10,17,31,-14,17,0.89,https://fbref.com/en/squads/fd962109/2025-2026/Fulham-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Newcastle,Newcastle,b2b47a98,12,19,10,2,7,36,30,+6,32,1.68,19,4,5,10,17,25,-8,17,0.89,https://fbref.com/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Everton,Everton,d3fd31cc,13,19,6,5,8,26,27,-1,23,1.21,19,7,5,7,21,23,-2,26,1.37,https://fbref.com/en/squads/d3fd31cc/2025-2026/Everton-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Leeds United,Leeds,5bfb9659,14,19,9,5,5,29,21,+8,32,1.68,19,2,9,8,20,35,-15,15,0.79,https://fbref.com/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Crystal Palace,Crystal Palace,47c64c55,15,19,4,9,6,19,23,-4,21,1.11,19,7,3,9,22,28,-6,24,1.26,https://fbref.com/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
2025-2026,Premier League,results,results_home_away,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Nottingham,Nott'm Forest,e4a775cb,16,19,4,8,7,20,23,-3,20,1.05,19,7,3,9,28,28,0,24,1.26,https://fbref.com/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
