season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Arsenal,Arsenal,18bb7c10,30,27.0,38,"3,420",90,100,38.0,418,,,105,18,161,1.18,51,74,-23,-0.61,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Bournemouth,Bournemouth,4ba7cbea,22,26.9,38,"3,420",90,100,38.0,418,,,106,18,160,1.55,61,45,+16,+0.42,https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Brighton,Brighton,d07537b9,24,27.0,38,"3,420",90,100,38.0,418,,,105,16,161,1.61,54,34,+20,+0.53,https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Burnley,Burnley,943e8050,24,27.0,38,"3,420",90,100,38.0,418,,,96,18,169,1.26,39,36,+3,+0.08,https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Chelsea,Chelsea,cff3d9bb,26,26.9,38,"3,420",90,100,38.0,418,,,107,19,159,0.97,38,62,-24,-0.63,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Crystal Palace,Crystal Palace,47c64c55,28,27.0,38,"3,420",90,100,38.0,418,,,107,21,159,1.55,55,45,+10,+0.26,https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Everton,Everton,d3fd31cc,30,27.0,38,"3,420",90,100,38.0,418,,,102,18,164,1.45,58,44,+14,+0.37,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Huddersfield,Huddersfield,f5922ca5,25,27.0,38,"3,420",90,100,38.0,418,,,106,20,159,1.76,58,28,+30,+0.79,https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Leicester City,Leicester,a2d435b3,27,26.8,38,"3,420",90,100,38.0,418,,,105,18,161,1.47,60,56,+4,+0.11,https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Liverpool,Liverpool,822bd0ba,27,27.1,38,"3,420",90,100,38.0,418,,,107,20,158,0.71,38,84,-46,-1.21,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Manchester City,Man City,b8fd03ef,25,26.9,38,"3,420",90,100,38.0,418,,,106,22,160,0.26,27,106,-79,-2.08,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Manchester Utd,Man Utd,19538871,27,26.9,38,"3,420",90,100,38.0,418,,,107,19,159,0.71,28,68,-40,-1.05,https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Newcastle,Newcastle,b2b47a98,27,26.9,38,"3,420",90,100,38.0,418,,,99,17,167,1.63,47,39,+8,+0.21,https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Southampton,Southampton,33c895d4,26,26.9,38,"3,420",90,100,38.0,418,,,104,21,160,1.66,56,37,+19,+0.50,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Stoke City,Stoke,17892952,30,26.9,38,"3,420",90,100,38.0,418,,,107,19,159,1.82,68,35,+33,+0.87,https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Swansea City,Swansea,fb10988f,26,27.1,38,"3,420",90,100,38.0,418,,,101,18,165,1.89,56,28,+28,+0.74,https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Tottenham,Spurs,361ca564,25,26.9,38,"3,420",90,100,38.0,418,,,106,20,160,0.76,36,74,-38,-1.00,https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,Watford,Watford,2abfe087,29,26.9,38,"3,420",90,100,38.0,418,,,105,19,161,1.71,64,44,+20,+0.53,https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,West Brom,West Brom,60c6b05f,24,26.9,38,"3,420",90,100,38.0,418,,,103,20,161,1.84,56,31,+25,+0.66,https://fbref.com/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
2017-2018,Premier League,playing_time,squad_against,2017-2018 Premier League Stats _ FBref.com.html,2026-09-20T20:42:06.730004+00:00,West Ham,West Ham,7c21e445,27,26.8,38,"3,420",90,100,38.0,418,,,104,17,162,1.58,68,48,+20,+0.53,https://fbref.com/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
