season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Arsenal,Arsenal,18bb7c10,29,25.9,38,"3,420",90,100,38.0,418,84,301,114,19,201,1.61,55,39,+16,+0.42,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Aston Villa,Aston Villa,8602292d,24,25.2,38,"3,420",90,100,38.0,418,86,324,91,17,229,1.45,55,46,+9,+0.24,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Brighton,Brighton,d07537b9,27,25.8,38,"3,420",90,100,38.0,418,85,305,108,20,208,1.08,40,46,-6,-0.16,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Burnley,Burnley,943e8050,25,28.3,38,"3,420",90,100,38.0,418,86,339,81,19,235,1.03,33,55,-22,-0.58,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Chelsea,Chelsea,cff3d9bb,27,26.0,38,"3,420",90,100,38.0,418,84,308,108,22,208,1.76,58,36,+22,+0.58,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Crystal Palace,Crystal Palace,47c64c55,24,29.1,38,"3,420",90,100,38.0,418,86,321,95,17,208,1.16,41,66,-25,-0.66,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Everton,Everton,d3fd31cc,29,26.3,38,"3,420",90,100,38.0,418,85,310,106,19,206,1.55,47,48,-1,-0.03,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Fulham,Fulham,fd962109,28,25.2,38,"3,420",90,100,38.0,418,85,306,110,19,203,0.74,27,53,-26,-0.68,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leeds United,Leeds,5bfb9659,23,26.1,38,"3,420",90,100,38.0,418,83,312,107,25,209,1.55,62,54,+8,+0.21,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Leicester City,Leicester,a2d435b3,27,26.5,38,"3,420",90,100,38.0,418,85,320,99,22,216,1.74,68,50,+18,+0.47,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Liverpool,Liverpool,822bd0ba,28,26.8,38,"3,420",90,100,38.0,418,85,314,104,19,212,1.82,68,42,+26,+0.68,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester City,Man City,b8fd03ef,24,26.1,38,"3,420",90,100,38.0,418,86,339,77,22,240,2.26,83,32,+51,+1.34,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Manchester Utd,Man Utd,19538871,29,25.6,38,"3,420",90,100,38.0,418,86,318,99,18,219,1.95,73,44,+29,+0.76,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Newcastle,Newcastle,b2b47a98,27,27.1,38,"3,420",90,100,38.0,418,85,306,109,19,209,1.18,46,62,-16,-0.42,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Sheffield United,Sheffield Utd,1df6b87e,27,26.7,38,"3,420",90,100,38.0,418,83,315,103,25,198,0.61,20,63,-43,-1.13,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Southampton,Southampton,33c895d4,29,26.6,38,"3,420",90,100,38.0,418,85,314,101,19,215,1.13,47,68,-21,-0.55,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
2020-2021,Premier League,playing_time,squad_for,2020-2021 Premier League Stats _ FBref.com.html,2026-09-20T20:41:23.578122+00:00,Tottenham,Spurs,361ca564,24,27.2,38,"3,420",90,100,38.0,418,85,305,112,20,204,1.63,68,45,+23,+0.61,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
